patient,slice,SSIM,MS-SSIM,PSNR,MAE,MSE,VIF,SD,EN
1BA256,115.png,0.818666773222047,0.9009392857551575,19.64814975627831,0.0790925845503807,0.01084388792514801,0.5266863068095229,0.12746155261993408,5.678565535955283
1BA256,116.png,0.8278602366528325,0.9100489616394043,19.52058552225324,0.07988972961902618,0.011167126707732677,0.5589025468291762,0.12817935645580292,5.638824686667649
1BA256,117.png,0.8358769882562421,0.9162530899047852,19.61602816460081,0.07898299396038055,0.010924389585852623,0.58914298909497,0.12674404680728912,5.701780581028617
1BA256,118.png,0.825723307846725,0.9061939716339111,19.697261485199057,0.07848396897315979,0.010721951723098755,0.5450193696235837,0.1277868151664734,5.814934162564054
1BA256,119.png,0.8305732714501284,0.907356321811676,19.539110344255924,0.0799018144607544,0.011119594797492027,0.5696224676200767,0.12703892588615417,5.680077761676662
1BA256,120.png,0.837506707803689,0.9124417304992676,19.644782199264547,0.0790943056344986,0.010852299630641937,0.5916159220481427,0.1273457109928131,5.709790509172138
1BA256,121.png,0.8203140645449571,0.9017197489738464,19.50183355314628,0.08134634792804718,0.011215448379516602,0.5412685208176583,0.1277378797531128,5.648875875782037
1BA256,122.png,0.8266810465879398,0.9072158932685852,19.52670187545725,0.0805896669626236,0.011151410639286041,0.54906857835135,0.1273735910654068,5.650896029994259
1BA256,123.png,0.8384266772046909,0.9172590374946594,19.661661123703716,0.07875620573759079,0.010810203850269318,0.5998821889430226,0.12710218131542206,5.7040339376546525
1BA256,124.png,0.8231258793720004,0.8988237977027893,19.499175044985634,0.08109289407730103,0.011222315952181816,0.532966652987337,0.12870541214942932,5.651746561407904
1BA256,125.png,0.8282587782596276,0.9061195254325867,19.541136869384527,0.08064690977334976,0.011114407330751419,0.5615891893746774,0.12847499549388885,5.615963773616214
1BA256,126.png,0.8269707856400982,0.9096344113349915,19.51777398482603,0.0805588960647583,0.011174358427524567,0.5445686055057238,0.12797638773918152,5.717743242379966
1BA256,127.png,0.8290657597065857,0.9038588404655457,19.472270017791583,0.08153633773326874,0.011292055249214172,0.5450826186060989,0.1283724308013916,5.705618039134615
1BA256,128.png,0.8335976307097431,0.908635675907135,19.424820914356296,0.08230193704366684,0.011416103690862656,0.5628116550238195,0.12802231311798096,5.634354455944036
1BA256,129.png,0.827113436801254,0.905551016330719,19.379031218179474,0.08275829255580902,0.011537105776369572,0.5352819187512982,0.1277240514755249,5.635196452425564
1BA256,130.png,0.8347266651366796,0.9110183715820312,19.403389710730877,0.08195404708385468,0.011472578160464764,0.5666771857357965,0.12784717977046967,5.649960058812391
1BA256,131.png,0.8400066309043531,0.9169744253158569,19.68717164849424,0.07968498766422272,0.010746890679001808,0.586569212066488,0.1258462816476822,5.760354083297095
1BA256,132.png,0.8376721559013612,0.9158082604408264,19.825479603587645,0.07888692617416382,0.01041003130376339,0.5513854950909504,0.12683960795402527,5.885320947958557
1BA256,133.png,0.824505156409234,0.902337372303009,19.290985432211414,0.08384695649147034,0.011773387901484966,0.5378564528459333,0.12760110199451447,5.669276155931027
1BA256,134.png,0.8327543002505032,0.9155668020248413,19.404921114845983,0.08235198259353638,0.011468533426523209,0.5628111778927481,0.12587985396385193,5.657425412118579
1BA256,135.png,0.8279029461311661,0.9094412326812744,19.43794188108071,0.08303041756153107,0.011381665244698524,0.540867808750485,0.12441778928041458,5.5857158111955645
1BA256,136.png,0.8370028321428927,0.9173963069915771,19.425616027880444,0.08274804800748825,0.011414013803005219,0.5845273347374055,0.12481441348791122,5.696811813518052
1BA256,137.png,0.8344359006384025,0.9182396531105042,19.383910881678517,0.08348296582698822,0.011524150148034096,0.5643463325982822,0.12577179074287415,5.687999275559809
1BA256,138.png,0.8334049788017561,0.9123027920722961,19.460724491203823,0.0827873945236206,0.011322114616632462,0.5616239857577975,0.12437734007835388,5.729890665126215
1BA256,139.png,0.8314011346740249,0.9133983254432678,19.349810706591416,0.08426544070243835,0.011614992283284664,0.558403478064316,0.1250094175338745,5.576606727882931
1BA256,140.png,0.8406079566447658,0.9281820058822632,19.478791073382105,0.08215348422527313,0.011275112628936768,0.6227727596415588,0.12506994605064392,5.765402660255688
1BA256,141.png,0.8292176538437507,0.9181323051452637,19.361115005038133,0.08407296240329742,0.01158479880541563,0.5460460059816359,0.12463376671075821,5.749894775843102
1BA256,142.png,0.8354052982601279,0.9238731265068054,19.40042399692676,0.08374367654323578,0.011480415239930153,0.5900713584258154,0.12487725913524628,5.792775606623902
1BA256,143.png,0.8352930991622936,0.9167006015777588,19.149008931369977,0.08689537644386292,0.012164635583758354,0.5846811819836257,0.12304890155792236,5.601645529784265
1BA256,144.png,0.8221514164200618,0.910873293876648,19.08847575872433,0.08819878101348877,0.012335376814007759,0.5474627858721928,0.12466128170490265,5.551176411698712
1BA256,145.png,0.8269181335895086,0.921769380569458,19.11330711660265,0.08815786987543106,0.012265048921108246,0.5580630828167917,0.12454190850257874,5.5564592722810335
1BA256,146.png,0.8251597505304781,0.9230610728263855,19.11211350222487,0.08796760439872742,0.012268420308828354,0.5526725094665301,0.12071742862462997,5.6022503110898665
1BA256,147.png,0.8312689486352913,0.9262040257453918,19.011446416972312,0.08971363306045532,0.01255611702799797,0.5773913357644369,0.1212630495429039,5.5209217105194055
1BA256,148.png,0.8307314565613104,0.9246630668640137,19.058166423638117,0.09001465141773224,0.012421766296029091,0.5811837371534985,0.1224793866276741,5.545867114626047
1BA256,149.png,0.817373664550602,0.9073553085327148,18.933966265597906,0.09145241230726242,0.012782134115695953,0.5065135382113514,0.12328089028596878,5.434826825891902
1BA256,150.png,0.8389637803936502,0.9275214076042175,18.995282813912493,0.09121498465538025,0.012602935545146465,0.6127971922950898,0.12181346118450165,5.571308171066414
1BA256,151.png,0.8370722478616243,0.9332762360572815,19.059985024615827,0.090751513838768,0.012416565790772438,0.6010738473129871,0.12052924185991287,5.595181998790703
1BA256,152.png,0.8290425500541194,0.9199773073196411,18.859983336524767,0.09361536800861359,0.013001745566725731,0.5800145309237476,0.12114131450653076,5.449883136504467
1BA256,153.png,0.8312784275409943,0.9292031526565552,18.970047911345983,0.09301422536373138,0.012676378712058067,0.580930222684047,0.11835107207298279,5.38711266436129
1BA256,154.png,0.8283221407982437,0.9260451793670654,18.898440530155312,0.09434320032596588,0.012887122109532356,0.555509079341175,0.1197585016489029,5.463708763896892
1BA256,155.png,0.8199750853154082,0.9149898290634155,18.863654789027443,0.09472363442182541,0.012990758754312992,0.5154233081589679,0.1179848164319992,5.298492536098788
1BA256,156.png,0.8323180771213666,0.9315049648284912,18.76704818225936,0.09636765718460083,0.01328296959400177,0.5771497388987455,0.11674164235591888,5.354493804936339
1BA256,157.png,0.8286061160441172,0.9293844103813171,18.870273854556316,0.09572236239910126,0.012970974668860435,0.5738012321407793,0.11656566709280014,5.399833948204924
